patch_number,para_hosts
0,3
1,1
2,4
3,2
4,5
5,0
6,1
7,0
8,0
9,0
10,1
11,0
12,0
13,2
14,5
15,5
16,1
17,1
18,1
19,1
20,5
21,4
22,0
23,1
24,2
25,2
26,0
27,2
28,3
29,0
30,1
31,2
32,5
33,0
34,3
35,0
36,1
37,1
38,3
39,1
40,0
41,7
42,2
43,6
44,3
45,15
46,8
47,0
48,20
49,9
50,29
51,9
52,2
53,20
54,5
55,6
56,1
57,3
58,9
59,11
60,6
61,5
62,5
63,12
64,12
65,3
66,1
67,13
68,1
69,12
70,12
71,6
72,10
73,4
74,14
75,0
76,9
77,4
78,6
79,4
80,6
81,8
82,1
83,29
