,census_tract_number,total_population,california_county,children_10_percent,pop_11_64_years_percent,elderly_65_percent,hispanic_percent,white_percent,african_american_percent,native_american_percent,asian_american_percent,other_percent,zip,nearby_city,ces_3_0_score,sb_535_disadvantaged_community,ozone,pm2_5,diesel_pm,drinking_water,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,low_birth_weight,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score
895,6029003112,5116,Kern,17.8,73.1,9.1,47.4,32.5,10.7,0.5,5.9,3,93313,Bakersfield,49.64,Yes,0.065,18.76,31.68,796.99,0,49.94568,899.71,18.5,15.5,0.235,0,0,57.36,7.07,65.88,6.42,9.68,29.8,11.9,39.6,10.2,15,67.74,7.03
896,6071000207,4635,San Bernardino,15,76.8,8.2,76.2,13,3.4,0.3,6.4,0.8,91763,Montclair,49.63,Yes,0.06,12.89,35.2,878.94,0.92,5900,226.21,1.55,0.3,0,1,1,51.64,6.36,74.93,6.15,12.99,25.1,10.8,43.6,8.4,31.3,75.24,7.8
897,6037540800,5042,Los Angeles,14.6,74.6,10.8,41,0.6,56.3,0.2,0.3,1.6,90059,Los Angeles,49.61,Yes,0.044,12.05,24.331,465.34,0,5754.916832,663.59,19.55,38.25,0.215,6,1.25,57.75,7.11,83.01,7.92,9.44,24.9,1.2,38.6,7.7,27.5,67.25,6.97
898,6037570100,2837,Los Angeles,10.9,77.1,12,31.4,24.3,20.1,0.1,21.1,2.9,90805,Long Beach,49.59,Yes,0.042,11.63,21.73,283.19,2.52,6693.622313,922.5,10.5,57.35,0.965,0,4.5,58.45,7.2,72.45,6.82,9.01,19,1.9,37.1,17.1,19.5,66.41,6.89
899,6077002702,4239,San Joaquin,19.3,73.9,6.8,72.2,21.1,0.9,0.7,2.8,2.3,95215,Stockton,49.56,Yes,0.048,13.61,12.624,749.97,1171.54,483.5953156,302.41,20,7.5,0.01,3,0,52.74,6.5,53.28,4.84,10.21,50.7,25,72.9,18.2,19.1,73.57,7.63
900,6107000201,9406,Tulare,20.4,72.4,7.2,87.3,3.4,0.1,0.2,8.3,0.7,93647,Orosi,49.56,Yes,0.065,14.15,6.831,663.52,310.37,366.2582457,183.86,12.4,8.2,0,0,14,53.75,6.62,50.64,4.39,9.89,55.1,35.9,76.2,17.5,20.8,72.18,7.49
901,6047001003,4061,Merced,20.3,72.4,7.3,49.1,22.6,11.9,0.2,12.8,3.4,95348,Merced,49.56,Yes,0.057,12.89,23.832,406.7,0.63,15.159325,578.55,3,6.75,0.275,2,0,46.88,5.77,96.27,5.29,14.7,25.5,10.1,73.8,21.7,31.2,82.77,8.58
902,6037208301,2201,Los Angeles,17.4,80.2,2.4,94.7,1.8,0.3,0.4,2.6,0.2,90026,Los Angeles,49.55,Yes,0.046,12.89,60.69,664.07,0,4291.498937,1034.64,15.8,1.5,0.135,8,0.5,60.32,7.43,38.83,4.86,5.11,56.5,34.7,69.9,15.7,43.7,64.3,6.67
903,6019004703,4218,Fresno,18.2,71.3,10.5,60.2,23.7,7.8,0.7,5.7,1.8,93705,Fresno,49.54,Yes,0.062,15.4,35.74,681.2,0,2598.481722,409.92,0,0,0.5,0,0.5,49.58,6.11,127.86,4.55,12.6,31.8,10.3,62.7,20.3,26,78.22,8.11
904,6037531604,3580,Los Angeles,16.5,74.6,8.9,97.8,1.8,0.1,0.1,0,0.1,90022,Los Angeles,49.53,Yes,0.046,12.05,42.62,647.12,0,21166.09355,587.39,0.9,3.3,0.04,0,0.4,46.33,5.71,62.41,5.91,12.06,55.6,24,75.3,13.9,27.3,83.7,8.68
905,6037191710,3231,Los Angeles,11,79.1,9.9,67.1,19.1,2.5,0,9.8,1.5,90038,Los Angeles,49.51,Yes,0.048,12.89,36.19,664.07,0,2355.553113,1582.77,1.15,1.8,0.025,0,0,48.37,5.96,54.41,7.09,8.88,35.6,39.5,61.5,15.2,31.4,80.13,8.31
906,6099000909,4402,Stanislaus,13.8,69.7,16.5,26.7,62.2,3.1,0.8,4,3.2,95350,Modesto,49.51,Yes,0.053,12.89,15.17,826.14,19.41,1026.722106,762.01,0,25.6,0.1,0,0,54.11,6.67,81.14,5.18,10.68,16.5,4.8,54.6,16,29.7,71.62,7.43
907,6037533803,6309,Los Angeles,17.7,74.4,7.9,89.3,7.3,0.4,0.2,2.1,0.7,90201,Bell,49.48,Yes,0.046,12.05,23.1,574.64,0,9906.937097,989.73,15.55,15.5,0,7,0,54.73,6.74,47.26,4.79,9.9,54.9,28,67.6,8.7,33.7,70.77,7.34
