Date (DD/MM/YY),Shark Species,Is it protected?,As what species has been identified wrong?,How it is found?,What happened to it?,Kilos:,Depth:,"Location (Area, City, Port)","Url link (facebook, youtube, website)",Photo or Video,Photo or video 2
13/05/18,Scyliorhinus canicula,Non Protected Species,Identified correct,Fishing,Unknown,,,Kea,https://www.facebook.com/grafasdiving/photos/pcb.842540229266242/842540085932923/?type=3&theater,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/307562818592773876_scyliorhinus_canicula.jpg' target='_blank'>scyliorhinus_canicula.jpg</a>,
15/05/18,Mustelus mustelus,Non Protected Species,Shark sp.,Fishing,Unknown,,,Kos,https://www.facebook.com/photo.php?fbid=10156279717535119&set=gm.612306382462303&type=3&theater,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/803117921163568167_mustelus_mustelus_kos.jpg' target='_blank'>mustelus_mustelus_kos.jpg</a>,
19/04/18,Galeus melastomus,Non Protected Species,Galeorhinus galeus,Fishing,Same-consumed,,,Thasos,https://www.facebook.com/photo.php?fbid=366110403883634&set=pcb.366110463883628&type=3&theater,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/408891978173704646_galeus_melastomus_thasos.jpg' target='_blank'>galeus_melastomus_thasos.jpg</a>,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/139470483685243175_galeus_melastomus_thasos2.jpg' target='_blank'>galeus_melastomus_thasos2.jpg</a>
19/04/18,Galeus melastomus,Non Protected Species,Galeorhinus galeus,Fishing,Same-consumed,,,Thasos,https://www.facebook.com/photo.php?fbid=366110403883634&set=pcb.366110463883628&type=3&theater,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/180430374725010383_galeus_melastomus_thasos.jpg' target='_blank'>galeus_melastomus_thasos.jpg</a>,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/742307985104731327_galeus_melastomus_thasos2.jpg' target='_blank'>galeus_melastomus_thasos2.jpg</a>
10/05/18,Galeorhinus galeus,Protected Species,Identified correct,Fishing,Same-consumed,,,"Tavern Hagiati, Corfu",https://www.facebook.com/photo.php?fbid=1712697382151070&set=gm.817364565129717&type=3&theater&ifg=1,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/266092621416747489_galeorhinus_galeus_xagiati_kerkyra.jpg' target='_blank'>galeorhinus_galeus_xagiati_kerkyra.jpg</a>,
13/05/18,Mustelus mustelus,Non Protected Species,Shark sp.,Swimming free,Swimming free ,,0m.,Nea Lampsakou,https://www.youtube.com/watch?time_continue=41&v=pZnSCA5JyHA,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/108333072144854782_eviazoom.gr______1.mp4' target='_blank'>eviazoom.gr______1.mp4</a>,
30/05/18,Heptranchias perlo,Protected Species,Shark sp.,Trade,Sold,,,"Heraklion, Crete",https://www.facebook.com/groups/457128891313387/permalink/619712758388332/,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/623608954392569710_eptravragxios_irakleio_kritis.jpg' target='_blank'>eptravragxios_irakleio_kritis.jpg</a>,
01/07/18,Isurus oxyrinchus,Protected Species,Shark sp.,Fishing,Unknown,19.5 kilos,,North-east Karpathos,???? pm ??? ??????? ??????.,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/154874216224473488_isurus_oxyrinchus_voreioanatoliki_karpathos.jpg' target='_blank'>isurus_oxyrinchus_voreioanatoliki_karpathos.jpg</a>,
03/07/18,Isurus oxyrinchus,Protected Species,Shark sp.,Fishing,Unknown,,,Kythira,https://www.facebook.com/groups/104915386661854/permalink/396378540848869/,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/672099348767906528_isurus_oxyrinchus_kythira.jpg' target='_blank'>isurus_oxyrinchus_kythira.jpg</a>,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/664546176178136476_isurus_oxyrinchus_kythira2.jpg' target='_blank'>isurus_oxyrinchus_kythira2.jpg</a>
08/07/18,Prionace glauca,Protected Species,Shark sp.,Stranded,Released,,,"Beach Aptera, Chania, Crete",http://www.zougla.gr/greece/article/karxaries-vgike-se-paralia-ton-xanion-1598909,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/219692937751704029_prionace_glauca_chania.jpg' target='_blank'>prionace_glauca_chania.jpg</a>,
09/07/18,Isurus oxyrinchus,Protected Species,Shark sp.,Fishing,Unknown,,,Kythira,https://www.facebook.com/groups/330623170293210/permalink/1859414754080703/?comment_id=1860244430664402&notif_id=1531134740920108,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/956704895313651656_karxarias_kythira.jpg' target='_blank'>karxarias_kythira.jpg</a>,
08/07/18,Mustelus mustelus,Non Protected Species,Identified correct,Fishing,Unknown,25 kilos,,North-west Mykonos,pm ???? ??????? ??????,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/753298535948488808_mustelus_mustelus_voreio_dytiki_mykonos.jpg' target='_blank'>mustelus_mustelus_voreio_dytiki_mykonos.jpg</a>,
01/07/18,Oxynotus centrina,Protected Species,Identified correct,Fishing,Unknown,,,Leros,https://www.facebook.com/groups/457128891313387/permalink/644297622596512/,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/477699394870330625_oxynotus_centrina_leros.jpg' target='_blank'>oxynotus_centrina_leros.jpg</a>,
14/07/18,Isurus oxyrinchus,Protected Species,Identified correct,Fishing,Released,,140m.,"Islet Psilis, Iria area",???? pm ??? ??????? ??????.,,
16/07/18,Scyliorhinus canicula,Non Protected Species,Shark sp.,Stranded,Found Dead,,,Beach Paxi Megara,https://www.facebook.com/groups/104915386661854/permalink/408836169603106/,,
05/07/18,Scyliorhinus canicula,Non Protected Species,Identified correct,Stranded,Found Dead,,,"Katigiorgis, South Pelion",Found through the citizen science program.,,
19/07/18,Mustelus mustelus,Non Protected Species,Galeorhinus galeus,Fishing,Unknown,10 kilos,,Marine area of Molivoti,https://inkomotini.news/%CE%BA%CE%B1%CF%81%CF%87%CE%B1%CF%81%CE%AF%CE%B1%CF%82-%CE%B3%CE%B1%CE%BB%CE%AD%CE%BF%CF%82-%CE%B5%CE%BD%CF%8C%CF%82-%CE%BC%CE%AD%CF%84%CF%81%CE%BF%CF%85-%CF%83%CF%84%CE%B1-%CE%B4%CE%AF/,,
21/07/18,Isurus oxyrinchus,Protected Species,Shark sp.,Fishing,Unknown,,,Makria Pounta,https://www.facebook.com/photo.php?fbid=2179440532289674&set=a.1399584193608649.1073741828.100006712453958&type=3&theater,,
31/07/18,Oxynotus centrina,Protected Species,Shark sp.,Fishing,Other (to be written in comments),,,Spetses,https://www.facebook.com/groups/315400478974978/permalink/448690452312646/,,
05/08/18,Prionace glauca,Protected Species,Identified correct,Fishing,Found Dead,2 kilos,90m.,Gulf of Toronaios,https://www.facebook.com/groups/1054361604576700/permalink/2060710307275153/,,
31/07/18,Prionace glauca,Protected Species,Identified correct,Fishing,Released,5 kilos,36m.,"Agios Mamas, Chalkidiki",???? pm ??? Billy Papa,,
03/08/18,Prionace glauca,Protected Species,Identified correct,Fishing,Released,7 kilos,,"Agios Mamas, Chalkidiki",???? pm ??? Billy Papa,,
12/08/18,Carcharodon carcharias,Protected Species,Identified correct,Fishing,Released,,,"Maroneia, Thracian sea",http://paratiritis-news.gr/article/205405/Leukos-karxarias-tis-Mesogeiou-alieutike-sta-anoixta-tis-Maroneias,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/821889639650176667_carcharodon_carcharias_maroneia.jpg' target='_blank'>carcharodon_carcharias_maroneia.jpg</a>,
13/08/18,Isurus oxyrinchus,Protected Species,Prionace glauca,Swimming free,Swimming free,,,"Plakias, Crete",https://www.facebook.com/permalink.php?story_fbid=1231167277025564&id=731609306981366,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/482816301370284041_isurus_oxyrinchus_plakias_kritis.jpg' target='_blank'>isurus_oxyrinchus_plakias_kritis.jpg</a>,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/882298759990176109_isurus_oxyrinchus_plakias_kritis2.jpg' target='_blank'>isurus_oxyrinchus_plakias_kritis2.jpg</a>
14/08/18,Hexanchus griseus,Protected Species,Shark sp.,Trade,Sold,,,"Rethymno, Tavern Argonautis",https://www.facebook.com/thanos.kerpelis/posts/10212260951107492,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/723355273791351970_hexanchus_griseus_rethymno2.jpg' target='_blank'>hexanchus_griseus_rethymno2.jpg</a>,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/949367798277815836_hexanchus_griseus_rethymno.jpg' target='_blank'>hexanchus_griseus_rethymno.jpg</a>
01/09/18,Mustelus mustelus,Non Protected Species,Shark sp.,Fishing,Same-consumed,30 kilos,,Gaydos,http://www.iefimerida.gr/news/440906/psaras-epiase-spanio-karharioeides-sti-gaydo-mehri-kai-oi-toyristes-emeinan-afonoi,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/293379181648848921_mustelus_mustelus-gavdos.jpg' target='_blank'>mustelus_mustelus-gavdos.jpg</a>,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/375398317499088883_mustelus_mustelus-gravdos2.jpg' target='_blank'>mustelus_mustelus-gravdos2.jpg</a>
10/09/18,Hexanchus griseus,Protected Species,Shark sp.,Trade,Sold,240 kilos,,Kavala,https://www.evros24.gr/karcharias-240-kilon-alieythike-anoichta-tis-kavalas/,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/349882856495072541_hexanchus_griseus_kavala.jpg' target='_blank'>hexanchus_griseus_kavala.jpg</a>,
13/10/18,Prionace glauca,Protected Species,Shark sp.,Trade,Unknown,4 kilos,,"Fish Market: Psito Ixthyos, Avenue Andrea Papandreou 36, Ilioupoli, Athens",https://www.facebook.com/groups/468031289932563/permalink/1890012221067789/,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/593828487753330221_prionace_glauca_ixthyopoleio_psito_ixthyos_ilioupoli.jpg' target='_blank'>prionace_glauca_ixthyopoleio_psito_ixthyos_ilioupoli.jpg</a>,
11/11/18,Prionace glauca,Protected Species,Galeorhinus galeus,Swimming free,Swimming free,,1m.,Port of Loutraki,https://www.facebook.com/groups/468031289932563/permalink/1934006490001695/?__xts__%5B0%5D=68.ARC5IhiEqLCDdj5Ot010mu_D-8TLu4mUMdM6eCKjR6QS4YJWtMX7HIaixe3INhtWt6QlHngWOBjb6mNAeqb9Fba1GtALIyPjnsgdGpY6nbGRdA3N6z9up42r4kyTpoLZMiBtBwB_-MmarLu_imZvunWHgwFTV-ML6ai2htMuG9oazXJVXDOA2AD5jAq3qBea8FUPCrISCpwJRkQ-pvlzR8KmCOvH6zk9Otbf22ccF_mLHobZOzBhD1DHatx1lMwQVTFC3tULXGyxPd67-8zm86VLWMwZKMxtjajU0dkiFtRWEqhGyeL2Y_LSac3G-mX1&__tn__=H-R,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/339497271186273962_prionace_glauca_loutraki.jpg' target='_blank'>prionace_glauca_loutraki.jpg</a>,
11/11/18,Squatina aculeata,Protected Species,Squatina squatina,Fishing,Released,,334m.,"Rhodes (GPS: N 3628214, E 2756732)",https://www.facebook.com/permalink.php?story_fbid=739451989744729&id=100010398038120,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/255722673137292686_squatina_aculeata_rodos_edit.mp4' target='_blank'>squatina_aculeata_rodos_edit.mp4</a>,<a href='http://www.weebly.com/editor/uploads/8/8/6/1/886111/534509649492684204_akanthorina_gps.jpg' target='_blank'>akanthorina_gps.jpg</a>
