Location,Species,Site,Net Photosynthesis,Respiration,Gross Photosynthesis,Pg:R ratio,Symbiodinaceae density,Chlorophyll concentration,Surface area
Dobu,Pocillopora verrucosa,Vents,0.926870171,-0.70625373,1.633123901,2.312375613,3355134.184,20.2208209,5.66
Dobu,Pocillopora verrucosa,Vents,2.185835606,-1.788502488,3.974338094,2.222159667,3280988.787,28.68970882,2.668
Dobu,Pocillopora verrucosa,Vents,1.626357173,-0.449070451,2.075427624,4.621608078,2636429.114,27.14697183,4.266
Dobu,Pocillopora verrucosa,Vents,2.10109695,-1.218111685,3.319208635,2.724880383,,,2.953
Dobu,Pocillopora verrucosa,Vents,1.356885434,-0.721303319,2.078188753,2.881157895,,,3.436
Dobu,Pocillopora verrucosa,Vents,2.009038924,-1.299783369,3.308822293,2.545672126,,,3.756
Dobu,Pocillopora verrucosa,Vents,1.379158588,-0.8290076,2.208166188,2.663625988,,,3.704
Dobu,Pocillopora verrucosa,Vents,0.754664929,-0.582802783,1.337467712,2.294889028,,,4.147
Ambitle,Acropora nana,Reference,0.643586756,-0.822955376,1.466542132,1.782043322,1336973.991,12.20389859,4.011
Ambitle,Acropora nana,Reference,0.880969164,-0.614453083,1.495422247,2.433745209,1506776.731,13.28919909,6.735
Ambitle,Acropora nana,Reference,0.81749847,-0.75363478,1.57113325,2.084740901,1862615.874,11.69508058,5.123
Ambitle,Acropora nana,Reference,0.62067753,-0.541103488,1.161781018,2.147058823,1052726.816,9.621793398,12.722
Ambitle,Acropora nana,Reference,0.637101194,-0.534231851,1.171333045,2.192555616,1285884.394,10.3096463,13.11
Ambitle,Acropora nana,Reference,0.621226455,-0.638552328,1.259778783,1.972866949,1071559.97,8.894668127,6.108
Ambitle,Acropora nana,Reference,0.936149983,-0.604884556,1.541034539,2.547650661,1165483.624,17.90466462,6.206
Ambitle,Acropora nana,Reference,0.601988897,-0.649661869,1.251650766,1.926618793,795247.8467,16.99482517,5.81
Ambitle,Acropora nana,Reference,0.668118007,-0.767181489,1.435299496,1.870873472,2315934.935,10.22286948,4.298
Ambitle,Acropora nana,Reference,0.855423419,-0.506073858,1.361497277,2.690313391,1655019.343,20.08411109,3.656
Ambitle,Acropora nana,Reference,0.594399549,-0.548712269,1.143111818,2.083262727,2219056.971,21.1225844,6.816
Ambitle,Acropora nana,Reference,0.713143128,-0.621049619,1.334192747,2.148286878,2282360.189,11.86905865,7
Ambitle,Acropora nana,Reference,0.6854515,-0.661395849,1.346847349,2.036371034,3226878.952,15.2021214,3.826
Ambitle,Acropora nana,Reference,0.756627942,-0.710224217,1.466852159,2.065336726,1841133.259,14.59797307,5.093
Ambitle,Acropora nana,Reference,0.800766018,-0.56349029,1.364256308,2.421082195,2380981.365,9.824694659,4.239
Ambitle,Pocillopora damicornis,Reference,0.429348744,-0.874202267,1.303551011,1.491132041,2968360.515,24.22023868,2.779
Ambitle,Pocillopora damicornis,Reference,0.469961951,-0.762155111,1.232117062,1.616622449,2433209.249,15.34728001,6.973
Ambitle,Pocillopora damicornis,Reference,0.431061221,-1.2,1.631061221,1.359217684,2564326.828,9.719740677,2.627
Ambitle,Pocillopora damicornis,Reference,0.72742172,-0.634284599,1.361706319,2.146838062,3928999.742,20.27960947,5.158
Ambitle,Pocillopora damicornis,Reference,0.428265628,-0.77833403,1.206599658,1.550233719,4705265.763,10.30603516,6.037
Ambitle,Pocillopora damicornis,Reference,0.711445405,-0.954638439,1.666083844,1.745251161,1168196.31,8.984831459,4.708
Ambitle,Pocillopora damicornis,Reference,0.491113927,-0.662849618,1.153963545,1.740913042,1368344.154,6.040918015,8.983
Ambitle,Pocillopora damicornis,Reference,0.547923249,-0.825085392,1.373008641,1.664080657,2053052.06,6.630947543,2.679
Ambitle,Pocillopora damicornis,Reference,0.14662448,-0.391235868,0.537860348,1.374772591,1433506.015,5.80429819,2.551
Ambitle,Pocillopora damicornis,Reference,0.541601158,-0.638277739,1.179878897,1.848535246,1751510.545,8.042352587,1.884
Ambitle,Pocillopora damicornis,Reference,0.221141786,-0.512696537,0.733838323,1.431330758,1033239.781,4.416702665,4.152
Ambitle,Pocillopora damicornis,Reference,0.277863716,-0.504749687,0.782613403,1.550498045,656975.7834,5.317658134,6.865
Ambitle,Pocillopora damicornis,Reference,0.465673011,-0.303856135,0.769529146,2.532544377,853204.0962,6.474862583,7.188
Ambitle,Pocillopora damicornis,Reference,0.48147444,-0.479834375,0.961308815,2.003417981,1073677.98,13.69977164,6.121
Ambitle,Pocillopora damicornis,Reference,0.660261507,-0.439916956,1.100178463,2.500877604,2007781.328,8.383374205,2.945
Ambitle,Acropora nana,Vents,0.959389123,-0.37828913,1.337678253,3.536126594,1114599.413,12.37412523,6.637
Ambitle,Acropora nana,Vents,1.271377361,-0.343913298,1.615290659,4.696796165,1094508.108,13.53415888,8.015
Ambitle,Acropora nana,Vents,1.10968111,-0.817870396,1.927551506,2.356793345,1426493.811,15.06710313,4.627
Ambitle,Acropora nana,Vents,1.102801125,-0.661080809,1.763881934,2.668179003,898950.7296,15.48223657,8.351
Ambitle,Acropora nana,Vents,1.150022011,-0.636075602,1.786097613,2.807995791,1181121.186,23.04189151,4.936
Ambitle,Acropora nana,Vents,0.930289596,-0.78369202,1.713981616,2.187060187,1766705.3,24.61880384,7.036
Ambitle,Acropora nana,Vents,1.020037348,-0.445786156,1.465823504,3.288176369,2438588.641,33.50937493,5.21
Ambitle,Acropora nana,Vents,0.951650105,-0.630257782,1.581907887,2.509937889,2263597.055,18.7746292,7.277
Ambitle,Acropora nana,Vents,0.922890577,-0.575094244,1.497984821,2.604764065,1847725.099,26.95262848,9.198
Ambitle,Acropora nana,Vents,1.293358935,-0.411901129,1.705260064,4.139974241,2305598.38,29.12025841,3.232
Ambitle,Acropora nana,Vents,0.804158387,-0.75379461,1.557952997,2.06681366,1313458.699,10.61289991,7.16
